,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0000051,12,31,11,18,26,35,39,2,16,11,17,37,74,15,7,10,11,16,19,8,18,23,10,40,37,16,37,25,13,11,12,9,10,38,48,0,9,771
OG0000052,82,0,9,0,68,3,8,1,61,4,8,46,114,58,1,0,0,51,0,0,14,5,13,0,12,5,12,132,0,5,26,9,0,0,23,0,0,770
OG0000053,35,0,49,0,86,0,77,0,10,42,4,65,57,0,0,0,0,31,0,0,13,39,7,0,38,0,100,11,17,33,18,14,0,0,16,0,0,762
OG0000054,31,9,61,5,9,3,0,0,27,0,10,11,20,7,0,0,0,14,114,2,13,4,1,5,22,7,20,61,5,1,2,5,0,275,15,0,0,759
OG0000055,15,59,37,32,14,52,52,18,16,26,6,16,22,8,13,34,0,29,8,5,6,52,9,10,27,0,15,21,24,18,11,10,0,19,21,0,40,745
OG0000056,40,14,6,27,16,28,17,16,13,17,22,42,44,67,12,25,9,21,23,22,18,33,12,30,40,7,19,17,14,15,12,12,9,4,12,1,8,744
OG0000057,0,54,0,14,18,27,0,41,26,21,0,42,32,0,10,26,20,0,21,0,26,33,12,86,39,0,21,0,26,20,13,0,23,92,0,0,0,743
OG0000058,15,19,18,30,33,12,24,60,27,10,7,44,80,16,25,36,20,17,7,12,32,29,26,4,20,0,29,12,5,14,4,13,7,23,3,2,0,735
OG0000059,6,7,28,28,38,122,26,0,0,16,0,33,92,126,0,0,0,2,0,8,0,4,23,18,58,0,53,0,0,27,0,18,0,1,0,0,0,734
OG0000060,24,43,14,22,16,24,27,14,15,14,16,32,32,38,11,19,6,21,15,18,9,42,14,56,29,10,13,16,15,14,12,12,12,24,18,3,13,733
OG0000061,78,1,11,3,84,1,0,0,5,6,2,52,146,22,25,4,0,32,0,1,8,31,11,5,16,2,38,93,3,2,7,4,0,1,29,0,0,723
OG0000062,43,79,0,15,42,24,113,1,9,13,9,25,35,4,0,3,2,38,6,4,39,37,16,15,23,2,26,17,6,13,17,16,1,5,20,0,1,719
OG0000063,8,5,13,13,2,16,67,83,35,4,0,0,0,49,25,49,0,26,15,21,18,71,8,0,6,13,12,17,13,6,8,28,0,0,48,1,31,711
OG0000064,5,5,0,11,15,9,86,0,43,21,28,19,19,40,3,4,0,13,8,14,28,24,7,25,21,42,27,28,12,17,22,54,0,13,25,1,2,691
OG0000065,8,29,0,27,29,26,16,3,60,33,25,23,23,10,6,24,1,5,10,4,37,28,12,28,45,0,54,8,11,37,8,13,1,12,31,0,0,687
OG0000066,9,10,5,19,15,16,54,11,13,21,18,33,45,27,3,17,2,11,14,12,12,12,9,18,34,9,20,17,24,20,9,34,2,9,39,11,27,661
OG0000067,30,5,27,14,35,28,49,9,18,17,15,22,26,31,12,4,4,8,10,10,16,44,16,38,23,1,13,18,20,12,14,19,2,14,26,0,6,656
OG0000068,8,50,14,12,13,12,49,12,19,17,13,34,17,33,19,25,3,6,10,7,10,31,14,17,20,4,21,26,25,16,16,16,10,9,30,0,18,656
OG0000069,10,26,7,23,11,36,31,21,16,11,17,25,40,24,7,23,5,14,16,15,15,17,21,28,23,12,11,22,24,11,13,17,5,17,21,3,9,647
OG0000070,0,0,0,1,0,9,0,0,34,0,4,0,0,3,0,0,0,0,20,9,7,0,1,0,0,0,0,5,95,0,0,0,0,248,6,196,0,638
OG0000071,3,2,0,13,20,23,23,29,20,11,20,37,26,15,16,1,11,3,18,14,26,28,18,26,22,0,13,44,11,12,30,6,27,52,15,1,0,636
OG0000072,25,43,22,6,48,26,41,1,28,9,19,31,45,29,0,0,0,6,8,8,61,24,6,0,36,0,27,4,7,13,11,24,0,0,0,0,21,629
OG0000073,75,0,44,0,74,0,24,0,12,6,0,46,79,0,5,0,0,43,0,0,2,4,0,0,13,3,20,108,0,27,4,27,0,0,7,1,0,624
OG0000074,4,3,55,2,88,6,15,0,15,38,2,83,101,9,3,0,0,3,3,2,1,10,2,3,78,0,46,2,2,39,1,7,0,0,1,0,0,624
OG0000075,3,4,4,2,17,3,143,1,38,22,19,31,25,8,0,0,1,6,5,8,10,4,9,5,7,30,46,24,0,9,42,23,1,29,23,1,21,624
OG0000076,7,13,3,21,16,26,31,12,28,18,32,24,31,20,10,19,8,14,9,10,11,11,14,16,25,6,21,21,24,13,8,19,7,13,43,12,2,618
OG0000077,31,24,0,12,9,9,64,9,19,11,5,27,20,57,6,22,8,19,15,10,8,14,11,30,19,20,13,34,15,10,8,9,4,20,10,0,14,616
OG0000078,13,27,4,13,24,17,21,8,11,13,7,28,32,36,29,28,4,13,16,20,17,15,14,21,24,5,39,16,19,13,9,9,6,12,15,7,8,613
OG0000079,1,0,73,34,40,24,15,0,41,7,0,15,20,1,57,0,1,3,46,0,22,6,4,3,10,3,83,60,10,5,6,0,1,2,16,1,1,611
OG0000080,11,32,4,27,14,33,32,7,9,13,9,23,27,9,14,36,1,13,8,8,8,26,25,16,26,2,24,35,34,16,12,12,3,8,19,3,4,603
OG0000081,0,61,0,20,22,36,7,1,85,15,1,27,21,1,0,0,3,0,19,0,34,47,14,13,10,0,26,47,9,26,20,0,3,29,0,1,0,598
OG0000082,11,6,51,9,10,40,95,8,56,7,14,15,4,29,5,7,2,9,7,8,29,26,19,7,10,4,3,12,15,5,6,16,1,5,32,0,14,597
OG0000083,48,11,5,18,14,22,23,5,12,12,15,30,35,36,13,11,5,34,18,19,14,34,12,8,22,3,20,14,15,12,11,15,5,11,12,0,3,597
OG0000084,69,31,10,57,16,26,6,0,6,0,4,22,39,38,0,3,0,16,8,6,35,7,8,13,15,4,23,33,27,0,24,35,0,5,7,2,1,596
OG0000085,41,1,12,3,21,4,7,8,3,7,1,58,122,10,5,18,5,14,3,4,48,30,10,11,26,11,8,12,8,3,6,48,8,3,14,0,2,595
OG0000086,13,11,7,13,8,30,18,7,24,10,8,16,15,28,24,37,7,16,15,9,9,10,9,36,12,9,28,20,7,11,11,39,3,8,26,16,25,595
OG0000087,21,41,2,19,12,40,15,17,9,10,10,20,34,9,25,22,1,23,9,8,15,35,14,18,18,4,18,48,11,10,13,10,2,12,11,1,4,591
OG0000088,20,22,5,16,11,22,21,15,11,11,15,18,21,46,12,25,6,26,27,22,13,28,12,22,27,7,15,13,18,10,12,14,6,5,8,2,6,590
OG0000089,34,13,14,15,16,35,27,13,21,8,7,11,17,49,9,12,2,33,3,10,20,26,16,3,10,3,15,33,13,6,9,17,3,14,17,0,36,590
OG0000090,0,0,0,3,43,6,1,0,0,37,1,84,252,0,0,0,0,0,0,0,0,0,21,0,90,0,13,0,8,30,0,0,0,0,0,0,0,589
OG0000091,11,19,46,9,7,16,5,14,11,8,15,27,21,41,7,35,18,9,18,21,7,20,8,59,19,10,5,9,18,7,9,10,12,13,13,0,7,584
OG0000092,2,40,1,35,28,35,13,31,10,21,1,21,26,8,27,32,0,6,4,5,44,33,23,0,32,3,33,0,30,21,9,2,0,0,0,0,1,577
OG0000093,8,5,0,17,18,44,27,0,12,21,0,30,54,0,23,27,0,26,2,0,44,28,35,0,12,0,24,15,16,13,18,2,1,9,43,0,2,576
OG0000094,11,0,0,22,23,31,0,0,26,17,15,49,62,0,0,0,11,19,13,0,30,0,14,91,23,0,29,25,6,21,16,0,9,3,0,8,0,574
OG0000095,13,49,9,16,10,18,15,6,13,9,7,20,22,28,5,17,5,12,73,11,14,19,12,36,13,5,13,15,17,11,10,12,10,13,7,1,7,573
OG0000096,7,0,5,17,11,27,29,31,14,16,6,42,66,15,13,21,0,6,9,6,11,16,15,25,28,6,20,18,10,13,7,9,2,0,17,0,30,568
